POAexemptCode,Description
P00.4,Newborn affected by maternal nutritional disorders
P00.5,Newborn affected by maternal injury
P00.6,Newborn affected by surgical procedure on mother
P00.7,"Newborn affected by other medical procedures on mother, not elsewhere classified"
P00.81,Newborn affected by periodontal disease in mother
P00.89,Newborn affected by other maternal conditions
P00.9,Newborn affected by unspecified maternal condition
P29.30,Pulmonary hypertension of newborn
P29.38,Other persistent fetal circulation
P78.84,Gestational alloimmune liver disease
P83.81,Umbilical granuloma
P83.88,Other specified conditions of integument specific to newborn
P91.811,Neonatal encephalopathy in diseases classified elsewhere
P91.819,"Neonatal encephalopathy, unspecified"
P91.88,Other specified disturbances of cerebral status of newborn
Q00.0,Anencephaly
Q00.1,Craniorachischisis
Q00.2,Iniencephaly
Q01.0,Frontal encephalocele
Q01.1,Nasofrontal encephalocele
Q01.2,Occipital encephalocele
Q01.8,Encephalocele of other sites
Q01.9,"Encephalocele, unspecified"
Q02,Microcephaly
Q03.0,Malformations of aqueduct of Sylvius
Q03.1,Atresia of foramina of Magendie and Luschka
Q03.8,Other congenital hydrocephalus
Q03.9,"Congenital hydrocephalus, unspecified"
Q04.0,Congenital malformations of corpus callosum
Q04.1,Arhinencephaly
Q04.2,Holoprosencephaly
Q04.3,Other reduction deformities of brain
Q04.4,Septo-optic dysplasia of brain
Q04.5,Megalencephaly
Q04.6,Congenital cerebral cysts
Q04.8,Other specified congenital malformations of brain
Q04.9,"Congenital malformation of brain, unspecified"
Q05.0,Cervical spina bifida with hydrocephalus
Q05.1,Thoracic spina bifida with hydrocephalus
Q05.2,Lumbar spina bifida with hydrocephalus
Q05.3,Sacral spina bifida with hydrocephalus
Q05.4,Unspecified spina bifida with hydrocephalus
Q05.5,Cervical spina bifida without hydrocephalus
Q05.6,Thoracic spina bifida without hydrocephalus
Q05.7,Lumbar spina bifida without hydrocephalus
Q05.8,Sacral spina bifida without hydrocephalus
Q05.9,"Spina bifida, unspecified"
Q06.0,Amyelia
Q06.1,Hypoplasia and dysplasia of spinal cord
Q06.2,Diastematomyelia
Q06.3,Other congenital cauda equina malformations
Q06.4,Hydromyelia
Q06.8,Other specified congenital malformations of spinal cord
Q06.9,"Congenital malformation of spinal cord, unspecified"
Q07.00,Arnold-Chiari syndrome without spina bifida or hydrocephalus
Q07.01,Arnold-Chiari syndrome with spina bifida
Q07.02,Arnold-Chiari syndrome with hydrocephalus
Q07.03,Arnold-Chiari syndrome with spina bifida and hydrocephalus
Q07.8,Other specified congenital malformations of nervous system
Q07.9,"Congenital malformation of nervous system, unspecified"
Q10.0,Congenital ptosis
Q10.1,Congenital ectropion
Q10.2,Congenital entropion
Q10.3,Other congenital malformations of eyelid
Q10.4,Absence and agenesis of lacrimal apparatus
Q10.5,Congenital stenosis and stricture of lacrimal duct
Q10.6,Other congenital malformations of lacrimal apparatus
Q10.7,Congenital malformation of orbit
Q11.0,Cystic eyeball
Q11.1,Other anophthalmos
Q11.2,Microphthalmos
Q11.3,Macrophthalmos
Q12.0,Congenital cataract
Q12.1,Congenital displaced lens
Q12.2,Coloboma of lens
Q12.3,Congenital aphakia
Q12.4,Spherophakia
Q12.8,Other congenital lens malformations
Q12.9,"Congenital lens malformation, unspecified"
Q13.0,Coloboma of iris
Q13.1,Absence of iris
Q13.2,Other congenital malformations of iris
Q13.3,Congenital corneal opacity
Q13.4,Other congenital corneal malformations
Q13.5,Blue sclera
Q13.81,Rieger's anomaly
Q13.89,Other congenital malformations of anterior segment of eye
Q13.9,"Congenital malformation of anterior segment of eye, unspecified"
Q14.0,Congenital malformation of vitreous humor
Q14.1,Congenital malformation of retina
Q14.2,Congenital malformation of optic disc
Q14.3,Congenital malformation of choroid
Q14.8,Other congenital malformations of posterior segment of eye
Q14.9,"Congenital malformation of posterior segment of eye, unspecified"
Q15.0,Congenital glaucoma
Q15.8,Other specified congenital malformations of eye
Q15.9,"Congenital malformation of eye, unspecified"
Q16.0,Congenital absence of (ear) auricle
Q16.1,"Congenital absence, atresia and stricture of auditory canal (external)"
Q16.2,Absence of eustachian tube
Q16.3,Congenital malformation of ear ossicles
Q16.4,Other congenital malformations of middle ear
Q16.5,Congenital malformation of inner ear
Q16.9,"Congenital malformation of ear causing impairment of hearing, unspecified"
Q17.0,Accessory auricle
Q17.1,Macrotia
Q17.2,Microtia
Q17.3,Other misshapen ear
Q17.4,Misplaced ear
Q17.5,Prominent ear
Q17.8,Other specified congenital malformations of ear
Q17.9,"Congenital malformation of ear, unspecified"
Q18.0,"Sinus, fistula and cyst of branchial cleft"
Q18.1,Preauricular sinus and cyst
Q18.2,Other branchial cleft malformations
Q18.3,Webbing of neck
Q18.4,Macrostomia
Q18.5,Microstomia
Q18.6,Macrocheilia
Q18.7,Microcheilia
Q18.8,Other specified congenital malformations of face and neck
Q18.9,"Congenital malformation of face and neck, unspecified"
Q20.0,Common arterial trunk
Q20.1,Double outlet right ventricle
Q20.2,Double outlet left ventricle
Q20.3,Discordant ventriculoarterial connection
Q20.4,Double inlet ventricle
Q20.5,Discordant atrioventricular connection
Q20.6,Isomerism of atrial appendages
Q20.8,Other congenital malformations of cardiac chambers and connections
Q20.9,"Congenital malformation of cardiac chambers and connections, unspecified"
Q21.0,Ventricular septal defect
Q21.1,Atrial septal defect
Q21.2,Atrioventricular septal defect
Q21.3,Tetralogy of Fallot
Q21.4,Aortopulmonary septal defect
Q21.8,Other congenital malformations of cardiac septa
Q21.9,"Congenital malformation of cardiac septum, unspecified"
Q22.0,Pulmonary valve atresia
Q22.1,Congenital pulmonary valve stenosis
Q22.2,Congenital pulmonary valve insufficiency
Q22.3,Other congenital malformations of pulmonary valve
Q22.4,Congenital tricuspid stenosis
Q22.5,Ebstein's anomaly
Q22.6,Hypoplastic right heart syndrome
Q22.8,Other congenital malformations of tricuspid valve
Q22.9,"Congenital malformation of tricuspid valve, unspecified"
Q23.0,Congenital stenosis of aortic valve
Q23.1,Congenital insufficiency of aortic valve
Q23.2,Congenital mitral stenosis
Q23.3,Congenital mitral insufficiency
Q23.4,Hypoplastic left heart syndrome
Q23.8,Other congenital malformations of aortic and mitral valves
Q23.9,"Congenital malformation of aortic and mitral valves, unspecified"
Q24.0,Dextrocardia
Q24.1,Levocardia
Q24.2,Cor triatriatum
Q24.3,Pulmonary infundibular stenosis
Q24.4,Congenital subaortic stenosis
Q24.5,Malformation of coronary vessels
Q24.6,Congenital heart block
Q24.8,Other specified congenital malformations of heart
Q24.9,"Congenital malformation of heart, unspecified"
Q25.0,Patent ductus arteriosus
Q25.1,Coarctation of aorta
Q25.21,Interruption of aortic arch
Q25.29,Other atresia of aorta
Q25.3,Supravalvular aortic stenosis
Q25.40,Congenital malformation of aorta unspecified
Q25.41,Absence and aplasia of aorta
Q25.42,Hypoplasia of aorta
Q25.43,Congenital aneurysm of aorta
Q25.44,Congenital dilation of aorta
Q25.45,Double aortic arch
Q25.46,Tortuous aortic arch
Q25.47,Right aortic arch
Q25.48,Anomalous origin of subclavian artery
Q25.49,Other congenital malformations of aorta
Q25.5,Atresia of pulmonary artery
Q25.6,Stenosis of pulmonary artery
Q25.71,Coarctation of pulmonary artery
Q25.72,Congenital pulmonary arteriovenous malformation
Q25.79,Other congenital malformations of pulmonary artery
Q25.8,Other congenital malformations of other great arteries
Q25.9,"Congenital malformation of great arteries, unspecified"
Q26.0,Congenital stenosis of vena cava
Q26.1,Persistent left superior vena cava
Q26.2,Total anomalous pulmonary venous connection
Q26.3,Partial anomalous pulmonary venous connection
Q26.4,"Anomalous pulmonary venous connection, unspecified"
Q26.5,Anomalous portal venous connection
Q26.6,Portal vein-hepatic artery fistula
Q26.8,Other congenital malformations of great veins
Q26.9,"Congenital malformation of great vein, unspecified"
Q27.0,Congenital absence and hypoplasia of umbilical artery
Q27.1,Congenital renal artery stenosis
Q27.2,Other congenital malformations of renal artery
Q27.30,"Arteriovenous malformation, site unspecified"
Q27.31,Arteriovenous malformation of vessel of upper limb
Q27.32,Arteriovenous malformation of vessel of lower limb
Q27.33,Arteriovenous malformation of digestive system vessel
Q27.34,Arteriovenous malformation of renal vessel
Q27.39,"Arteriovenous malformation, other site"
Q27.4,Congenital phlebectasia
Q27.8,Other specified congenital malformations of peripheral vascular system
Q27.9,"Congenital malformation of peripheral vascular system, unspecified"
Q28.0,Arteriovenous malformation of precerebral vessels
